URLID,URL,TagID,Tag,Start,End,Time,State
1,8Rhimam6FgQ.mp4,6,fall down,3,5,1,1
1,8Rhimam6FgQ.mp4,6,fall down,6,10,1,1
1,8Rhimam6FgQ.mp4,6,fall down,11,15,1,1
1,8Rhimam6FgQ.mp4,6,fall down,16,20,1,1
1,8Rhimam6FgQ.mp4,6,fall down,21,23,1,1
1,8Rhimam6FgQ.mp4,6,fall down,24,27,1,1
1,8Rhimam6FgQ.mp4,6,fall down,28,32,1,1
1,8Rhimam6FgQ.mp4,6,fall down,32,39,1,1
1,8Rhimam6FgQ.mp4,6,fall down,40,44,1,1
1,8Rhimam6FgQ.mp4,6,fall down,48,51,1,1
1,8Rhimam6FgQ.mp4,6,fall down,52,59,1,1
1,8Rhimam6FgQ.mp4,6,fall down,60,64,1,1
1,8Rhimam6FgQ.mp4,6,fall down,69,73,1,1
1,8Rhimam6FgQ.mp4,6,fall down,74,78,1,1
1,8Rhimam6FgQ.mp4,6,fall down,81,82,1,1
1,8Rhimam6FgQ.mp4,6,fall down,90,94,1,1
1,8Rhimam6FgQ.mp4,6,fall down,95,98,1,1
1,8Rhimam6FgQ.mp4,6,fall down,99,101,1,1
1,8Rhimam6FgQ.mp4,6,fall down,105,110,1,1
1,8Rhimam6FgQ.mp4,6,fall down,111,116,1,1
1,8Rhimam6FgQ.mp4,6,fall down,117,121,1,1
1,8Rhimam6FgQ.mp4,6,fall down,125,128,1,1
1,8Rhimam6FgQ.mp4,6,fall down,134,137,1,1
1,8Rhimam6FgQ.mp4,6,fall down,144,148,1,1
1,8Rhimam6FgQ.mp4,6,fall down,150,152,1,1
1,8Rhimam6FgQ.mp4,6,fall down,155,156,1,1
1,8Rhimam6FgQ.mp4,6,fall down,157,163,1,1
1,8Rhimam6FgQ.mp4,6,fall down,169,174,1,1
1,8Rhimam6FgQ.mp4,6,fall down,175,179,1,1
1,8Rhimam6FgQ.mp4,6,fall down,180,184,1,1
1,8Rhimam6FgQ.mp4,6,fall down,186,190,1,1
1,8Rhimam6FgQ.mp4,6,fall down,191,196,1,1
1,8Rhimam6FgQ.mp4,6,fall down,197,203,1,1
1,8Rhimam6FgQ.mp4,6,fall down,204,205,1,1
1,8Rhimam6FgQ.mp4,6,fall down,206,207,1,1
1,8Rhimam6FgQ.mp4,6,fall down,208,210,1,1
1,8Rhimam6FgQ.mp4,6,fall down,210,214,1,1
1,8Rhimam6FgQ.mp4,6,fall down,215,220,1,1
1,8Rhimam6FgQ.mp4,6,fall down,221,225,1,1
